Year,State,Region,District,Total_Male,Total_Female,Total_Transgender,Grand_Total,Male_Below_18,Male_18_and_above,Female_Below_18,Female_18_and_above,Transgender_Below_18,Transgender_18_and_above,Total_Below_18,Total_18_and_above
2018,AN Islands,South India,Nicobar,0,0,0,0,0,0,0,0,0,0,0,0
2019,AN Islands,South India,Nicobar,0,0,0,0,0,0,0,0,0,0,0,0
2020,AN Islands,South India,Nicobar,0,0,0,0,0,0,0,0,0,0,0,0
2021,AN Islands,South India,Nicobar,5,1,0,6,1,4,0,1,0,0,1,5
2022,AN Islands,South India,Nicobar,4,1,0,5,0,4,0,1,0,0,0,5
2018,AN Islands,South India,North & Middle Andaman,0,0,0,0,0,0,0,0,0,0,0,0
2019,AN Islands,South India,North & Middle Andaman,0,0,0,0,0,0,0,0,0,0,0,0
2020,AN Islands,South India,North & Middle Andaman,0,0,0,0,0,0,0,0,0,0,0,0
2021,AN Islands,South India,North & Middle Andaman,9,13,0,22,1,8,4,9,0,0,5,17
2022,AN Islands,South India,North & Middle Andaman,13,12,0,25,3,10,4,8,0,0,7,18
2018,AN Islands,South India,South Andaman,89,100,0,189,10,79,38,62,0,0,48,141
2019,AN Islands,South India,South Andaman,79,95,0,174,10,69,33,62,0,0,43,131
2020,AN Islands,South India,South Andaman,42,37,0,79,7,35,14,23,0,0,21,58
2021,AN Islands,South India,South Andaman,37,42,0,79,3,34,16,26,0,0,19,60
2022,AN Islands,South India,South Andaman,60,72,0,132,8,52,22,50,0,0,30,102
2018,AN Islands,South India,Total,89,100,0,189,10,79,38,62,0,0,48,141
2019,AN Islands,South India,Total,79,95,0,174,10,69,33,62,0,0,43,131
2020,AN Islands,South India,Total Districts ,42,37,0,79,7,35,14,23,0,0,21,58
2021,AN Islands,South India,Total Districts ,51,56,0,107,5,46,20,36,0,0,25,82
2022,AN Islands,South India,Total Districts ,77,85,0,162,11,66,26,59,0,0,37,125
2022,Andhra Pradesh,South India,Alluri Sitharama Raju,36,80,1,117,8,28,54,26,0,1,62,55
2022,Andhra Pradesh,South India,Anakapalli,89,197,0,286,20,69,56,141,0,0,76,210
2018,Andhra Pradesh,South India,Anantapur,186,655,0,841,46,140,232,423,0,0,278,563
2019,Andhra Pradesh,South India,Anantapur,257,766,0,1023,60,197,280,486,0,0,340,683
2020,Andhra Pradesh,South India,Anantapur,209,869,0,1078,32,177,284,585,0,0,316,762
2021,Andhra Pradesh,South India,Anantapur,291,1224,0,1515,43,248,446,778,0,0,489,1026
2022,Andhra Pradesh,South India,Anantapuramu,217,651,0,868,38,179,220,431,0,0,258,610
2022,Andhra Pradesh,South India,Annamayya,91,292,0,383,31,60,135,157,0,0,166,217
2022,Andhra Pradesh,South India,Bapatla,121,297,4,422,24,97,79,218,3,1,106,316
2018,Andhra Pradesh,South India,Chittoor,93,354,0,447,37,56,138,216,0,0,175,272
2019,Andhra Pradesh,South India,Chittoor,99,319,0,418,44,55,151,168,0,0,195,223
2020,Andhra Pradesh,South India,Chittoor,143,695,0,838,37,106,262,433,0,0,299,539
2021,Andhra Pradesh,South India,Chittoor,167,727,0,894,45,122,265,462,0,0,310,584
2022,Andhra Pradesh,South India,Chittoor,114,538,0,652,18,96,177,361,0,0,195,457
2018,Andhra Pradesh,South India,Cuddapah,66,156,0,222,26,40,58,98,0,0,84,138
2019,Andhra Pradesh,South India,Cuddapah,163,475,0,638,52,111,176,299,0,0,228,410
2020,Andhra Pradesh,South India,Cuddapah,167,415,0,582,47,120,138,277,0,0,185,397
2021,Andhra Pradesh,South India,Cuddapah,209,573,10,792,51,158,204,369,5,5,260,532
2022,Andhra Pradesh,South India,Dr BR Ambedkar Konaseema,165,267,0,432,23,142,77,190,0,0,100,332
2018,Andhra Pradesh,South India,East Godavari,281,411,0,692,71,210,157,254,0,0,228,464
2019,Andhra Pradesh,South India,East Godavari,215,359,9,583,27,188,102,257,9,0,138,445
2020,Andhra Pradesh,South India,East Godavari,311,515,0,826,40,271,125,390,0,0,165,661
2021,Andhra Pradesh,South India,East Godavari,353,693,0,1046,29,324,191,502,0,0,220,826
2022,Andhra Pradesh,South India,East Godavari,208,403,0,611,36,172,139,264,0,0,175,436
2022,Andhra Pradesh,South India,Eluru,227,413,0,640,27,200,98,315,0,0,125,515
2018,Andhra Pradesh,South India,Guntakal Railway,9,9,0,18,2,7,1,8,0,0,3,15
2019,Andhra Pradesh,South India,Guntakal Railway,6,4,0,10,1,5,0,4,0,0,1,9
2022,Andhra Pradesh,South India,Guntakal Railway,4,6,0,10,1,3,1,5,0,0,2,8
2018,Andhra Pradesh,South India,Guntur,247,348,0,595,86,161,73,275,0,0,159,436
2019,Andhra Pradesh,South India,Guntur,279,440,0,719,85,194,113,327,0,0,198,521
2020,Andhra Pradesh,South India,Guntur,232,410,0,642,61,171,111,299,0,0,172,470
2021,Andhra Pradesh,South India,Guntur,280,667,0,947,82,198,206,461,0,0,288,659
2022,Andhra Pradesh,South India,Guntur,343,688,0,1031,75,268,174,514,0,0,249,782
2018,Andhra Pradesh,South India,Guntur Urban,202,293,0,495,43,159,46,247,0,0,89,406
2019,Andhra Pradesh,South India,Guntur Urban,202,293,0,495,43,159,46,247,0,0,89,406
2020,Andhra Pradesh,South India,Guntur Urban,151,281,0,432,30,121,77,204,0,0,107,325
2021,Andhra Pradesh,South India,Guntur Urban,203,440,0,643,17,186,138,302,0,0,155,488
2022,Andhra Pradesh,South India,Kakinada,157,389,0,546,9,148,94,295,0,0,103,443
2018,Andhra Pradesh,South India,Krishna,156,264,0,420,19,137,17,247,0,0,36,384
2019,Andhra Pradesh,South India,Krishna,182,282,0,464,13,169,27,255,0,0,40,424
2020,Andhra Pradesh,South India,Krishna,199,333,0,532,33,166,37,296,0,0,70,462
2021,Andhra Pradesh,South India,Krishna,204,346,0,550,31,173,32,314,0,0,63,487
2022,Andhra Pradesh,South India,Krishna,188,368,0,556,32,156,85,283,0,0,117,439
2018,Andhra Pradesh,South India,Kurnool,153,359,0,512,64,89,149,210,0,0,213,299
2019,Andhra Pradesh,South India,Kurnool,205,504,0,709,43,162,174,330,0,0,217,492
2020,Andhra Pradesh,South India,Kurnool,176,634,0,810,28,148,217,417,0,0,245,565
2021,Andhra Pradesh,South India,Kurnool,299,865,0,1164,93,206,261,604,0,0,354,810
2022,Andhra Pradesh,South India,Kurnool,102,238,0,340,22,80,94,144,0,0,116,224
2022,Andhra Pradesh,South India,Nandyal,133,300,0,433,28,105,96,204,0,0,124,309
2018,Andhra Pradesh,South India,Nellore,156,332,488,976,33,123,99,233,132,356,264,712
2019,Andhra Pradesh,South India,Nellore,141,345,0,486,36,105,111,234,0,0,147,339
2020,Andhra Pradesh,South India,Nellore,141,425,0,566,27,114,120,305,0,0,147,419
2021,Andhra Pradesh,South India,Nellore,187,529,0,716,50,137,177,352,0,0,227,489
2022,Andhra Pradesh,South India,NTR,486,861,0,1347,71,415,172,689,0,0,243,1104
2022,Andhra Pradesh,South India,Palnadu,133,364,0,497,45,88,111,253,0,0,156,341
2022,Andhra Pradesh,South India,Parvathipuram Manyam,45,82,2,129,9,36,13,69,2,0,24,105
