Year,State,District,Total_Male,Male_Below_5_years,Male_5_years_&_Above_Below_14_years,Male_14_years_&_Above_Below_18_years,Male_18_years_&_Above_Below_30_years,Male_30_years_&_Above_Below_45_years,Male_45_years_&_Above_Below_60_years,Male_60_years_&_Above,Total_Female,Female_Below_5_years,Female_5_years_&_Above_Below_14_years,Female_14_years_&_Above_Below_18_years,Female_18_years_&_Above_Below_30_years,Female_30_years_&_Above_Below_45_years,Female_45_years_&_Above_Below_60_years,Female_60_years_&_Above,Total_Transgender,Transgender_Below_5_years,Transgender_5_years_&_Above_Below_14_years,Transgender_14_years_&_Above_Below_18_years,Transgender_18_years_&_Above_Below_30_years,Transgender_30_years_&_Above_Below_45_years,Transgender_45_years_&_Above_Below_60_years,Transgender_60_years_&_Above,Grand_Total,Total_Below_5_years,Total_5_years_&_Above_Below_14_years,Total_14_years_&_Above_Below_18_years,Total_18_years_&_Above_Below_30_years,Total_30_years_&_Above_Below_45_years,Total_45_years_&_Above_Below_60_years,Total_60_years_&_Above
2018-19, Andhra Pradesh,Anantapur,257,2,22,36,93,61,26,17,766,1,22,257,415,58,5,8,0,0,0,0,0,0,0,0,1023,3,44,293,508,119,31,25
2018-19, Andhra Pradesh,Chittoor,99,15,13,16,29,14,10,2,319,33,6,112,132,24,9,3,0,0,0,0,0,0,0,0,418,48,19,128,161,38,19,5
2018-19, Andhra Pradesh,Cuddapah,163,2,19,31,26,35,44,6,475,9,31,136,98,126,72,3,0,0,0,0,0,0,0,0,638,11,50,167,124,161,116,9
2018-19, Andhra Pradesh,East Godavari,215,2,6,19,69,70,31,18,359,6,16,80,205,39,6,7,9,1,0,8,0,0,0,0,583,9,22,107,274,109,37,25
2018-19, Andhra Pradesh,Guntakal Railway,6,0,1,0,2,1,0,2,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,10,0,1,0,4,1,0,4
2018-19, Andhra Pradesh,Guntur,279,15,29,41,49,76,46,23,440,13,26,74,230,72,15,10,0,0,0,0,0,0,0,0,719,28,55,115,279,148,61,33
2018-19, Andhra Pradesh,Guntur Urban,202,0,22,21,59,51,25,24,293,2,5,39,205,31,4,7,0,0,0,0,0,0,0,0,495,2,27,60,264,82,29,31
2018-19, Andhra Pradesh,Krishna,182,5,8,0,66,60,32,11,282,9,18,0,193,48,9,5,0,0,0,0,0,0,0,0,464,14,26,0,259,108,41,16
2018-19, Andhra Pradesh,Kurnool,205,3,12,28,67,42,35,18,504,10,44,120,80,135,90,25,0,0,0,0,0,0,0,0,709,13,56,148,147,177,125,43
2018-19, Andhra Pradesh,Nellore,141,1,16,19,35,34,21,15,345,1,18,92,159,54,14,7,0,0,0,0,0,0,0,0,486,2,34,111,194,88,35,22
2018-19, Andhra Pradesh,Prakasham,176,7,30,19,47,34,27,12,344,5,22,69,199,40,5,4,0,0,0,0,0,0,0,0,520,12,52,88,246,74,32,16
2018-19, Andhra Pradesh,Rajahmundry,196,5,14,14,66,55,29,13,233,1,10,40,142,23,9,8,0,0,0,0,0,0,0,0,429,6,24,54,208,78,38,21
2018-19, Andhra Pradesh,Srikakulam,110,6,15,12,25,21,10,21,231,1,7,44,147,24,5,3,0,0,0,0,0,0,0,0,341,7,22,56,172,45,15,24
2018-19, Andhra Pradesh,Tirupathi Urban,132,2,3,9,63,36,19,0,260,1,23,44,36,119,37,0,0,0,0,0,0,0,0,0,392,3,26,53,99,155,56,0
2018-19, Andhra Pradesh,Vijayawada City,410,13,46,49,96,119,59,28,521,22,29,121,263,58,17,11,0,0,0,0,0,0,0,0,931,35,75,170,359,177,76,39
2018-19, Andhra Pradesh,Vijayawada Railway,26,1,0,4,2,9,5,5,12,0,2,0,2,6,1,1,0,0,0,0,0,0,0,0,38,1,2,4,4,15,6,6
2018-19, Andhra Pradesh,Visakha Rural,137,0,15,13,49,27,20,13,187,8,5,18,123,23,3,7,0,0,0,0,0,0,0,0,324,8,20,31,172,50,23,20
