Year,State,District,Total_Male,Male_Below_5_years,Male_5 years_&_Above_Below_14_years,Male_14_years_&_Above_Below_18_years,Male_18_years_ &_Above_Below_30_years,Male_30_years_&_ Above_Below_45_years,Male_45_years_&_Above_Below_60_years,Male_60_years_&_Above,Total_Female,Female_Below_5_years,Female_5_years_&_Above_Below_14_years,Female_14_years_&_Above_Below_18_years,Female_18_years_&_Above_Below_30_years,Female_30_years_&_Above_Below_45_years,Female_45_years_&_Above_Below_60_years,Female_60_years_&_Above,Total_Transgender,Transgender_Below_5_years,Transgender_5 years & Above–Below 14  years,Transgender_14_years_&_Above_Below_18_years,Transgender_18_years_&_Above_Below_30_years,Transgender_30_years_&_Above_Below_45_years,Transgender_45_years_&_Above_Below_60_years,Transgender_60_years_&_Above,Grand_Total,Total_Below_5_years,Total_5_years_&_Above_Below_14_years,Total_14 years & Above - Below 18 years,Total_18_years_&_Above_Below_30_years,Total_30_years_&_Above_Below_45_years,Total_45_years_&_Above_Below_60_years,Total_60_years_&_Above
2019-20, Andhra Pradesh,Anantapur,209,0,10,22,78,55,29,15,869,0,5,279,499,67,13,6,0,0,0,0,0,0,0,0,1078,0,15,301,577,122,42,21
2019-20, Andhra Pradesh,Chittoor,143,6,22,9,37,36,17,16,695,11,25,226,386,37,7,3,0,0,0,0,0,0,0,0,838,17,47,235,423,73,24,19
2019-20, Andhra Pradesh,Cuddapah,167,12,20,15,48,29,24,19,415,3,16,119,227,37,11,2,0,0,0,0,0,0,0,0,582,15,36,134,275,66,35,21
2019-20, Andhra Pradesh,East Godavari,311,2,6,32,78,99,63,31,515,1,13,111,249,105,24,12,0,0,0,0,0,0,0,0,826,3,19,143,327,204,87,43
2019-20, Andhra Pradesh,Guntur,232,13,20,28,43,66,41,21,410,7,21,83,209,75,11,4,0,0,0,0,0,0,0,0,642,20,41,111,252,141,52,25
2019-20, Andhra Pradesh,Guntur Urban,151,1,11,18,43,42,22,14,281,0,7,70,160,27,8,9,0,0,0,0,0,0,0,0,432,1,18,88,203,69,30,23
2019-20, Andhra Pradesh,Krishna,199,14,15,4,61,60,29,16,333,15,18,4,238,43,10,5,0,0,0,0,0,0,0,0,532,29,33,8,299,103,39,21
2019-20, Andhra Pradesh,Kurnool,176,0,16,12,35,70,23,20,634,0,118,99,245,150,15,7,0,0,0,0,0,0,0,0,810,0,134,111,280,220,38,27
2019-20, Andhra Pradesh,Nellore,141,1,7,19,31,46,26,11,425,0,15,105,218,63,14,10,0,0,0,0,0,0,0,0,566,1,22,124,249,109,40,21
2019-20, Andhra Pradesh,Prakasham,164,15,23,15,40,36,27,8,371,3,20,62,233,45,4,4,0,0,0,0,0,0,0,0,535,18,43,77,273,81,31,12
2019-20, Andhra Pradesh,Rajahmundry,129,10,5,6,42,33,19,14,206,5,8,48,110,23,8,4,0,0,0,0,0,0,0,0,335,15,13,54,152,56,27,18
2019-20, Andhra Pradesh,Srikakulam,93,8,16,15,19,17,8,10,253,13,8,46,165,17,2,2,0,0,0,0,0,0,0,0,346,21,24,61,184,34,10,12
2019-20, Andhra Pradesh,Tirupathi Urban,68,4,9,6,15,14,11,9,236,1,14,72,117,22,7,3,0,0,0,0,0,0,0,0,304,5,23,78,132,36,18,12
2019-20, Andhra Pradesh,Vijayawada City,261,7,23,21,65,84,34,27,399,8,21,63,232,55,12,8,0,0,0,0,0,0,0,0,660,15,44,84,297,139,46,35
2019-20, Andhra Pradesh,Visakha Rural,96,3,7,7,20,29,22,8,199,3,10,47,97,33,3,6,0,0,0,0,0,0,0,0,295,6,17,54,117,62,25,14
2019-20, Andhra Pradesh,Visakhapatnam,251,1,14,22,96,55,33,30,431,4,11,39,300,60,9,8,0,0,0,0,0,0,0,0,682,5,25,61,396,115,42,38
2019-20, Andhra Pradesh,Vizianagaram,107,4,10,4,35,32,12,10,210,3,6,26,154,16,3,2,0,0,0,0,0,0,0,0,317,7,16,30,189,48,15,12
2019-20, Andhra Pradesh,West Godavari,334,20,25,17,103,81,55,33,688,16,32,129,366,94,23,28,0,0,0,0,0,0,0,0,1022,36,57,146,469,175,78,61
2019-20, Andhra Pradesh,Total Districts ,3239,121,259,273,892,887,495,312,7576,93,368,1631,4207,969,184,124,0,0,0,0,0,0,0,0,10815,214,627,1904,5099,1856,679,436
2019-20,Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Arunachal Pradesh,Changlang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
