Year,State,District,Total_Male,Male_Below_12_years,Male_12_years_&_Above_Below_16_years,Male_16_years_&_Above_Below_18_years,Male_Children,Male_18_years_&_Above,Total_Female,Female_Below_12_years,Female_12_years_&_Above_Below_16_years,Female_16_years_&_Above_Below_18_years,Female_Children,Female_18_years_&_Above,Total_Transgender,Transgender_Below_12_years,Transgender_12_years_&_Above_Below_16_years,Transgender_16_years_&_Above_Below_18_years,Transgender_Children,Transgender_18_years_&_Above,Grand_Total,Total_Below_12_years,Total_12_years_&_Above_Below_14_years,Total_14_years_&_Above_Below_18_years,Total_Children,Total_18_years_&_Above
2020-21, Andhra Pradesh,Anantapur,291,3,21,19,43,248,1224,4,111,331,446,778,0,0,0,0,0,0,1515,7,132,350,489,1026
2020-21, Andhra Pradesh,Chittoor,167,28,7,10,45,122,727,18,67,180,265,462,0,0,0,0,0,0,894,46,74,190,310,584
2020-21, Andhra Pradesh,Cuddapah,209,22,10,19,51,158,573,23,64,117,204,369,10,5,0,0,5,5,792,50,74,136,260,532
2020-21, Andhra Pradesh,East Godavari,353,11,11,7,29,324,693,18,32,141,191,502,0,0,0,0,0,0,1046,29,43,148,220,826
2020-21, Andhra Pradesh,Guntur,280,44,20,18,82,198,667,42,48,116,206,461,0,0,0,0,0,0,947,86,68,134,288,659
2020-21, Andhra Pradesh,Guntur Urban,203,3,7,7,17,186,440,1,69,68,138,302,0,0,0,0,0,0,643,4,76,75,155,488
2020-21, Andhra Pradesh,Krishna,204,30,1,0,31,173,346,28,2,2,32,314,0,0,0,0,0,0,550,58,3,2,63,487
2020-21, Andhra Pradesh,Kurnool,299,54,23,16,93,206,865,38,62,161,261,604,0,0,0,0,0,0,1164,92,85,177,354,810
2020-21, Andhra Pradesh,Nellore,187,26,8,16,50,137,529,21,52,104,177,352,0,0,0,0,0,0,716,47,60,120,227,489
2020-21, Andhra Pradesh,Prakasham,191,32,14,7,53,138,575,37,77,84,198,377,0,0,0,0,0,0,766,69,91,91,251,515
2020-21, Andhra Pradesh,Rajahmundry,157,14,4,5,23,134,271,14,30,28,72,199,0,0,0,0,0,0,428,28,34,33,95,333
2020-21, Andhra Pradesh,Srikakulam,81,4,5,7,16,65,288,13,5,67,85,203,0,0,0,0,0,0,369,17,10,74,101,268
2020-21, Andhra Pradesh,Tirupathi Urban,108,17,10,2,29,79,358,13,33,101,147,211,0,0,0,0,0,0,466,30,43,103,176,290
2020-21, Andhra Pradesh,Vijayawada City,292,19,4,12,35,257,527,19,28,81,128,399,0,0,0,0,0,0,819,38,32,93,163,656
2020-21, Andhra Pradesh,Visakha Rural,124,7,4,7,18,106,216,7,9,35,51,165,0,0,0,0,0,0,340,14,13,42,69,271
2020-21, Andhra Pradesh,Visakhapatnam,454,20,29,21,70,384,791,17,44,94,155,636,0,0,0,0,0,0,1245,37,73,115,225,1020
2020-21, Andhra Pradesh,Vizianagaram,140,4,13,5,22,118,253,8,7,23,38,215,0,0,0,0,0,0,393,12,20,28,60,333
2020-21, Andhra Pradesh,West Godavari,313,1,16,9,26,287,730,5,80,102,187,543,0,0,0,0,0,0,1043,6,96,111,213,830
2020-21, Andhra Pradesh,Total Districts ,4065,340,207,187,734,3331,10085,326,820,1835,2981,7104,10,5,0,0,5,5,14160,671,1027,2022,3720,10440
2020-21,Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Arunachal Pradesh,Changlang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Arunachal Pradesh,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Arunachal Pradesh,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
